ID	ckpt	sample_mIoU	F1@0.1	F1@0.3	F1@0.5	F1@0.7	F1@0.9	CR	FMR	CountF1	SCR	R@0.1	R@0.3	R@0.5	R@0.7	R@0.9	gt(mean)	pred(mean)	n_samples	testset
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	2000	62.46	76.46	54.56	41.60	33.75	24.87	0.00	0.01	0.00	0.60	66.71	44.08	33.29	27.01	19.91	1.69	1.01	500	unav100_v0_500
sft_7b_unav_v8_rl_v2_rMsep2_batch4	100	62.25	53.14	36.35	26.08	20.25	14.51	0.10	0.18	0.17	0.53	77.01	52.37	37.68	29.27	20.97	1.69	3.19	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep2fp_clip_mu2	100	62.22	49.83	34.76	25.33	19.90	14.22	0.07	0.16	0.13	0.51	74.76	51.30	37.56	29.50	21.09	1.69	3.32	500	unav100_v2_500
sft_7b_unav_v8_rl_rMsep3_unpucha_batch4_noscaling	2000	62.22	75.15	55.28	40.43	27.72	14.30	0.60	0.69	0.41	0.80	81.92	60.78	45.31	31.12	16.07	1.71	2.13	3455	unav100_titok
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff_unpu	1000	62.11	78.69	58.34	43.29	32.28	21.23	0.27	0.12	0.41	0.78	72.73	51.64	38.46	28.68	18.86	1.71	1.33	3455	unav100_tail
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff	1000	61.93	75.87	53.62	40.00	29.70	21.32	0.31	0.22	0.44	0.91	76.91	51.21	38.05	28.28	20.31	1.71	1.55	1500	unav100_titok
sft_7b_unav_v8_rl_v2_rMsep2_clip_mu2	100	61.85	49.01	33.30	24.01	18.65	13.14	0.07	0.19	0.12	0.47	76.18	52.01	37.68	29.27	20.62	1.69	3.61	500	unav100_v2_500
sft_7b_unav_v8_rl_v2_rMsep_clip_mu2	2000	61.82	76.02	52.85	39.44	30.74	22.86	0.04	0.01	0.08	0.61	67.27	43.16	31.88	24.84	18.48	1.71	1.05	1500	unav100
sft_7b_unav_v8_rl_v2_rMsep2_batch4	200	61.66	66.04	48.09	35.87	28.21	20.18	0.02	0.04	0.05	0.95	69.79	47.27	34.95	27.49	19.67	1.69	1.60	500	unav100_v0_500
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_mlp_headoff_unpucha_batch4	1000	60.56	77.90	55.46	39.78	26.81	15.69	0.59	0.64	0.44	0.91	78.22	54.73	40.71	27.82	16.42	1.75	1.92	500	unav100_titok
sft_7b_unpucha_v8_rl_rMsep3_unpucha_batch4_noscaling_ttifix_nolocal	1000	59.14	69.52	52.62	39.00	27.62	16.92	0.64	0.89	0.19	0.78	73.19	55.31	41.22	28.80	17.19	1.71	2.18	3455	unav100_titok
sft_7b_unpucha_v8_rl_rMsep3_unpucha_batch4_noscaling_ttifix_noprecision	1000	58.98	73.66	53.65	38.04	22.94	12.72	0.64	0.93	0.13	0.81	76.31	54.41	40.86	24.37	13.39	1.71	2.12	3455	unav100_titok
sft_7b_unpucha_v8_rl_rMsep3_unpucha_batch4_noscaling_ttifix_noglobal	1000	58.72	73.74	54.77	39.29	26.33	15.29	0.63	0.78	0.33	0.83	76.02	57.17	42.07	28.12	16.25	1.71	2.06	3455	unav100_titok
sft_7b_unav_v8_rl_rMsep2fp_lr_clip_mu2_off	700	52.15	71.56	51.32	38.18	26.07	8.47	0.22	0.06	0.35	0.73	65.88	44.53	32.92	22.47	7.31	1.71	1.24	3455	unav100_tail
sft_7b_unav_v8_rl_rMsep3_unpucha_batch4_noscaling_ttioff	1000	51.60	72.76	51.93	38.05	24.03	8.21	0.66	0.99	0.01	0.85	67.39	45.69	34.10	22.10	8.07	1.71	2.00	3455	unav100_titok
sft_7b_unav_v8_rl_rMsep3_unpucha_batch4_noscaling	1800	46.72	85.90	71.30	47.65	24.30	4.30	-	0.00	-	1.00	85.90	71.30	47.65	24.30	4.30	1.00	1.00	2000	charades_rlp_noaudio
